open,high,low,close,volume
30357.02,30403.82,30248.26,30301.03,9655.71
30242.32,30266.43,30177.46,30220.27,2217.33
30579.4,30706.2,30471.4,30614.76,6577.05
31505.17,31567.78,31458.93,31550.36,9075.24
31411.3,31593.76,31171.78,31405.76,4673.47
31211.89,31382.36,31159.58,31261.84,3236.76
32227.39,32413.74,31929.97,32252.35,6702.02
32751.9,32878.61,32495.37,32750.6,411.17
32485.57,32583.88,32408.8,32446.37,3665.59
32595.54,32935.95,32446.31,32801.69,2653.94
32431.38,32650.78,32370.47,32500.96,2323.75
32251.17,32338.56,32129.33,32201.47,1879.62
32376.89,32573.42,32265.67,32360.52,7396.93
31075.2,31197.98,30962.63,31125.47,9555.49
30063.55,30178.47,29976.21,30054.8,3909.23
29714.31,29725.99,29709.19,29719.82,586.12
29103.2,29277.1,28925.76,29120.77,7217.23
29222.13,29373.86,29084.43,29306.7,5428.22
28777.8,28880.26,28639.46,28777.41,7264.08
27890.32,28218.38,27712.8,27967.44,6514.25
28649.31,29012.42,28471.44,28790.04,9063.82
28713.39,28749.5,28633.54,28662.92,1490.36
28817.77,28899.83,28683.12,28704.5,1774.7
27879.64,27898.47,27842.53,27889.43,3481.54
27523.91,27694.16,27459.67,27588.57,4964.75
27594.31,27856.85,27462.4,27652.53,9264.57
26921.74,27051.91,26765.63,27018.74,9078.95
27214.53,27259.2,27102.85,27224.46,8731.53
27065.77,27129.42,26889.0,26900.14,2303.02
26735.57,26757.02,26685.74,26745.9,7323.8
26408.33,26535.51,26371.18,26426.71,3896.57
27448.12,27537.94,27245.83,27408.35,9318.71
27407.95,27472.8,27223.93,27403.69,2223.9
26795.79,26899.33,26764.16,26826.73,1498.45
27337.33,27540.28,27171.43,27270.73,8439.61
26632.94,26673.48,26588.68,26607.59,7197.39
26656.42,26762.06,26602.08,26721.4,8232.07
25687.97,25716.95,25657.81,25676.77,1663.64
25012.99,25074.58,24845.14,24997.27,8859.45
25224.19,25347.37,24907.16,25098.19,6808.44
25472.91,25487.11,25426.96,25471.38,6550.45
25570.14,25588.93,25552.05,25561.23,5867.58
25330.75,25537.72,25163.89,25504.66,7672.28
25307.94,25369.39,25215.96,25353.62,4214.52
24597.25,24708.35,24506.34,24606.44,1414.93
24168.83,24269.22,24139.65,24254.64,5438.72
24036.59,24087.79,23948.68,24033.62,7506.21
24490.24,24569.88,24443.75,24544.15,1621.11
24650.41,24771.82,24614.26,24715.28,2317.8
23705.32,23897.99,23653.36,23846.27,6995.8
24104.63,24215.88,23754.64,24003.22,2769.54
23819.46,23896.61,23777.69,23820.75,1782.41
23447.23,23579.49,23330.53,23500.64,8904.98
23852.39,23920.84,23622.8,23790.49,1692.86
24311.69,24417.52,24213.8,24283.43,3507.07
24669.83,24791.77,24629.8,24738.15,4341.46
24294.8,24352.48,24229.46,24325.41,4813.79
24128.69,24380.73,24043.37,24177.41,3676.97
24242.74,24398.18,24188.96,24340.01,9134.13
24867.96,24995.97,24553.2,24817.33,6620.39
24553.73,24599.17,24526.62,24581.98,3659.0
24485.42,24522.37,24428.3,24493.16,3641.43
23962.98,24059.72,23864.14,23953.66,5079.23
23408.75,23591.29,23317.46,23382.98,433.27
23747.52,23927.47,23559.7,23765.31,9273.76
24251.71,24418.72,24198.57,24412.31,2310.76
24347.65,24413.28,24302.36,24379.59,7006.17
24869.56,24925.29,24810.69,24871.35,7799.46
25051.47,25080.74,25036.59,25053.72,8291.09
24715.01,24776.57,24624.16,24732.97,1739.86
24855.66,24969.14,24821.56,24914.21,5413.26
25708.99,25826.46,25595.72,25683.09,928.38
25742.93,25794.03,25656.3,25667.25,8067.44
26416.39,26533.8,26317.18,26473.02,4915.87
25157.37,25203.74,25035.27,25088.62,1669.04
25481.52,25543.11,25396.69,25503.53,7214.92
25577.39,25634.4,25380.93,25550.48,3378.58
25424.87,25537.19,25358.77,25400.24,1233.62
25476.74,25495.07,25417.63,25449.4,4664.63
24503.36,24567.36,24420.54,24440.29,2428.94
24469.12,24560.3,24301.91,24335.36,9507.2
24611.98,24671.87,24440.39,24511.6,3677.48
25085.5,25273.1,24873.34,25238.57,5767.28
25077.74,25175.18,24830.51,24979.48,9488.77
24511.96,24651.69,24357.52,24578.07,3997.84
24313.02,24355.25,24259.37,24333.88,3645.46
24767.43,24901.82,24649.65,24781.82,1707.82
24984.58,25119.59,24930.14,24947.24,9389.21
24725.16,24780.46,24662.27,24685.41,8027.37
25062.49,25129.11,24817.14,24941.28,2288.01
25026.83,25047.04,24985.37,24992.2,3393.48
25537.48,25623.98,25377.9,25478.87,9157.63
25236.05,25432.46,24958.05,25123.67,5419.07
24947.7,25083.95,24853.5,24961.54,5607.71
24720.69,24782.36,24694.04,24768.28,6516.63
24025.31,24238.05,23918.28,24045.79,7645.42
24113.95,24272.02,24073.5,24190.6,9398.93
24253.23,24356.42,24095.77,24319.32,8042.03
24291.33,24372.9,24112.17,24324.24,9352.04
24183.2,24283.15,24126.64,24212.55,8224.04
23404.42,23694.95,23304.92,23529.58,559.7
23288.19,23357.4,23241.77,23333.98,1263.59
23154.78,23420.03,22995.48,23176.37,8860.44
22792.76,22883.62,22712.01,22806.81,374.19
22730.66,22833.08,22673.43,22735.52,7962.33
22911.36,22984.13,22862.06,22921.52,8513.45
23835.29,23855.46,23776.53,23788.5,4213.1
23842.31,23886.77,23812.57,23873.94,3613.06
23956.13,24008.53,23849.12,23999.3,2024.6
24033.34,24123.36,23911.3,23965.97,584.3
22969.99,23128.92,22862.91,23048.66,7479.29
23181.47,23253.49,23020.66,23038.74,829.9
23088.56,23146.23,23016.04,23068.8,9452.23
24084.68,24218.38,24050.16,24207.59,3037.76
24097.82,24150.79,24080.98,24116.88,7963.02
24265.48,24279.71,24238.88,24264.74,690.86
24255.77,24304.22,24213.15,24250.32,5409.16
23649.73,23737.3,23580.0,23685.93,3556.09
24213.89,24320.91,24170.71,24229.67,397.01
24522.84,24734.57,24434.5,24596.48,6592.41
